Fault_type,Va,Vb,Vc,Ia,Ib,Ic
1,197.85555595631288,-340.67185046930683,308.44514936963844,-299.626931236531,114.47834314685339,0.902978366924895
0,497.1979355182069,-349.7140474251591,-154.75479013615953,-0.3443187586052012,43.65240666005258,-3.4552352533296116
2,315.13966260680786,-289.4421397981155,89.63423644042882,-323.82781144693035,-162.48002800266076,781.4617993431779
2,402.6640447703994,-58.79147533473491,-186.77555124856536,177.20019167656957,-533.4852032071569,569.8033176050554
2,-354.8146325232022,211.32969249550857,173.26351116518236,34.284688499529814,527.3170645125377,-635.5438339242053
2,-239.20793073170563,-56.92419996151909,321.88698136120877,-364.0067686516516,588.1509682038491,-157.01585258570074
2,-346.74692192166214,262.7046562661132,120.78185050872344,134.73652838997145,465.4649654542697,-694.5884712205207
2,261.68842820221914,-303.9719217689888,145.16067399390272,-394.68658812680974,-50.00154133910753,731.8609657969258
1,238.44119482038946,-350.35603013772567,205.2312192041895,-68.11550102416831,157.81020472821427,-2.0483517706070202
1,380.5905616158297,-238.2093273351236,-8.34935410342215,124.78443200955945,-44.36677760160376,-4.885977116005627
1,-369.9749964818848,30.14861145362815,428.9767483918924,-268.18681085183835,525.5820813612572,52.131023303296644
2,-168.19358589458076,-130.72811362351348,331.6041428398987,-438.87214155053255,526.7228915778553,29.503458913460218
1,248.20038992167886,418.40687682548054,-491.8621016708689,478.2523978911316,-448.4842285759339,34.517867801418234
1,262.24607668639,286.351829786595,-507.87058728476234,517.756913562681,-445.5634021951846,26.45593792182919
0,-441.7059615579978,372.78501750286364,255.34781422597237,33.59250387142813,5.489931033256077,59.37020400777291
1,-268.49300454290346,361.26966052583003,-29.81249955258444,23.040252924336734,13.330709756450794,61.48043502823891
0,359.64516282223485,162.70073388338702,-482.7319881264275,309.83971501938584,50.82558027497836,16.913716153169126
3,-212.44660784548873,622.9472304901068,-309.021625144017,12.370313144387985,30.84844941405334,53.23978886334504
2,-167.50423053216528,-131.35125852858909,331.6148178979606,-439.38955188437717,526.0948256656966,31.06228187217042
1,473.719885542778,122.67010338536747,-405.98853658965623,450.7773682405969,-398.76756478793453,7.192305786616121
2,361.0602116235193,-261.5052415265233,28.073286103030362,-230.6546049988268,-271.2253604824867,794.7877303412579
3,318.92924664331105,-558.1046296502641,327.52717475604464,57.11888911364201,21.847903508908814,2.3470461324019922
1,105.91290696453751,380.5388105689312,-464.27369205986093,514.514512901573,-342.41342035576406,40.065823053072734
2,-94.25408788038233,-189.7562303802461,325.7463314611675,-485.9314506437802,452.4424516798098,194.02062560680267
0,249.2627054594333,323.92949382969977,-507.5932163582562,371.99328159817804,48.75147288182197,26.52018407148526
2,255.75965470158926,173.41822550475956,-278.1946546711128,484.0114343218088,-497.5249213985287,91.41265104869004
2,348.9804573255695,58.183245249935695,-248.9826459783249,347.2833016455916,-546.9016816256832,348.8076398519508
1,-250.3538943668824,-309.88664648385986,557.5774378497698,-431.64878124345785,520.1905904675136,28.001438243463735
0,280.5008931704796,-560.2151946194755,300.33042865238485,-276.9883390943141,23.14632185353413,0.5340326530923036
2,198.85225780000079,225.0125424894832,-279.21287073218684,529.6991899530145,-446.0614372046256,-40.93747225973688
1,329.80871323728775,-289.3432102118932,77.87728523315354,47.84040311594089,36.72492111044959,-4.346891593675977
1,-345.19532457959843,-213.15875196460368,546.2506170066132,-437.55342146757647,518.9526279248819,37.93211918256161
1,67.68007167107956,-340.4418459930407,438.3723185089666,-396.7059441289465,275.8300460291931,8.565063079540316
1,330.2597338089841,363.15585597345296,-507.5639371095036,504.8220149192025,-471.18522347414546,27.305542038868015
2,368.09066115899816,24.314908653565936,-233.80743690173074,303.86940532712237,-550.0225296627749,413.8923029600716
2,-295.63462692059335,336.8151445009652,13.689848614593512,314.755046089022,307.134380989383,-737.4635676161739
2,-344.3399921563713,130.76698305601485,237.17484890586536,-104.91470411124124,585.4619735023841,-517.1884244984336
3,-477.27669944622636,597.5311774348805,-75.67139703165158,18.325018132821192,18.808243382527785,60.83810182803398
0,-102.45420010125736,604.0318242369505,-364.1289163301755,391.53852600106865,34.858578375146514,50.150757772924706
1,-383.44502196671925,109.32012639381875,347.63670738126416,-181.80717666143386,479.6916203531402,56.74422061169791
3,-596.8724308932699,497.93397412904943,108.72371471578762,25.11172445229979,10.927683244814492,61.75519276070487
1,441.16594579147994,-91.49592764024356,-233.32725875655564,187.19523518252436,-383.8915657356889,-2.117095931539623
1,-164.0358172854899,405.4832912339138,-225.27434172141002,343.1080231484172,-25.674977874226798,57.43555494521763
0,3.3991217054801695,-444.2746213589302,514.3655617362457,-339.4056233967128,8.677788220575884,16.575708855606592
2,-138.66283871877454,-155.817238612731,330.6220315967929,-463.6853424659425,497.98752517389437,102.42422767920144
1,136.44909888499666,-387.7774449563584,319.8787190229917,-175.53530104185643,268.42136935838766,2.149338884770561
0,-441.56548951144543,372.64999511712296,255.1974162370211,33.72262823615586,5.535646083189516,59.374805373875915
3,-420.8993083496559,-147.39827870090025,547.4722605244028,51.67050886196881,0.9935774729542253,37.6362403068575
0,-230.59669062571777,-200.36561735078988,555.6302491894138,-283.5628095368221,1.2305793084221648,33.80272022878076
3,420.8858068688302,-557.1188475725576,245.58004108663192,55.28014756609322,26.286767738732546,-0.9548239982141311
1,-59.090696140241604,-305.74868905563847,522.0304912514756,-445.76527292516494,409.8409923211675,17.819906086697863
1,407.1791530139676,99.00236846678435,-426.87387665470214,393.19466450447123,-493.0410793937772,9.011361370625615
3,-135.9117107623875,-391.15515077917996,539.4589330890185,57.725164258073036,6.769949723744894,21.480185326978578
2,-179.6267151183957,-120.08295304908532,331.14897781518107,-430.8219828193505,536.6178529866309,5.087171630466393
2,316.6327577017993,104.16700575244641,-264.4967747226805,407.6233187340975,-538.0532665871357,252.3692711939974
1,-162.91096911164544,-248.02962123579215,556.398374175492,-454.2785031551416,488.7498297214411,26.66575362828133
2,394.98633108805205,-218.95549473364446,-37.0543216750299,-123.23029317800001,-369.93116155080634,774.8003193134319
1,-420.405369701756,-17.709528538849902,430.79389892305363,-363.0267168188663,429.4638484533999,51.917314513779814
1,101.9623698250689,381.92902009632115,-461.9356507457018,513.0837381432942,-338.7031019874727,40.46017312435439
2,146.34245992140285,264.5468718204478,-272.9134870432241,558.6956156898646,-388.6205842537907,-157.7772049437696
0,290.47863110610524,269.2284404737716,-504.04171737021136,352.6211235483979,49.656038243829514,23.235706761247755
2,287.28354355237286,-299.69875899340565,120.97893218074435,-363.03695738863706,-66.84746882313,709.7559394666738
2,282.87349634260204,-299.49335232502057,124.30106879158905,-367.7289459863483,-99.32119215547351,759.3835640091796
2,-154.77520654201984,375.89380923069723,-133.34537016689467,508.574892052391,25.120731437074546,-635.7849733974002
2,-111.01732196429055,372.2406421826455,-164.86046258971018,539.9146243607715,-49.94971890015162,-580.2842967128479
1,398.2230830665973,290.97421891123224,-496.8770378711722,509.2392956908824,-470.1089316621881,19.677143012243654
1,-180.80293998966775,419.3548635075754,-151.61753580542597,133.08420602115405,-101.53205885866265,59.23405171109526
2,-177.91741526004517,375.7145542277024,-114.7848239339263,489.8978219194294,62.921612021616525,-659.6656264184711
2,391.3104077330736,-226.64563689960755,-27.23603961856311,-143.04763710632162,-349.52124451167253,775.5704229953502
2,410.16766791452204,-176.22447180417868,-87.44095394282049,-34.12332602843125,-434.98358583618113,735.9243292706171
2,186.70932808200342,-304.16743403085394,204.95005780292345,-458.2366426814691,71.92386350292654,659.4785727055423
2,354.1702801537675,-268.4369353778851,39.766858495024366,-248.1128364374186,-212.9937903336197,742.1171751392247
1,33.43816456164699,-335.26768673964085,465.49245016529204,-414.50921986649905,313.9761787792386,10.858393250287914
3,598.2435929402073,-490.75867284229435,45.0628997381413,48.98978122243418,35.77144209650573,-4.694810419155587
1,442.87857907102364,-69.08868371010391,-261.27419251477767,215.3143607926717,-403.78581131004154,-1.0262689191958216
1,-265.93837994735276,363.0815110324051,-33.46831183948637,23.100999396276592,13.283097709344375,61.45832755389627
2,394.9879358212116,-218.95234029101775,-37.05842610472864,-123.21854897816661,-369.9304807708656,774.7829294537386
0,-330.92950583453137,604.6638631828476,-96.21742911624852,267.72787286596525,20.052961737735316,60.713361114107414
0,245.74598766636987,328.3005831932655,-507.32559101795346,374.3485332187307,48.622860496284744,26.768415244301988
0,-246.99567329199334,629.4476410215941,-218.58398971103512,332.85773958052044,26.096557977041844,57.73503785908976
1,-269.8319895862206,-151.31105907548582,547.4220041285515,-414.5537079617946,543.0669287492155,37.72413720400309
0,465.5758395216904,-77.85616510805252,-377.72014248108997,188.19063189332581,50.17799734959476,5.536012137552724
1,164.698612855111,351.54839953863024,-489.5118456211376,526.0186459162815,-357.85978051703705,35.30324688835494
1,91.56941223167149,-344.4091956583408,418.71117314065884,-383.1164085952522,249.19055640751947,6.986718246138331
2,73.69119158617809,-277.984598693369,271.33026046444843,-505.80404088030434,243.59506554965466,498.72534598950915
3,-380.80065626910715,-190.93118556033937,554.6261481174892,52.94447435927398,1.5272577913073526,35.14039541511299
2,363.39677361709,-259.4804618647651,24.399951023159925,-224.7843720666331,-277.28185636929356,794.5738381430646
1,-23.514317563000077,413.45546018313837,-374.8653407798296,458.40665206162697,-208.00893103911852,49.54278210609678
1,383.18679942130535,-235.84929682799964,-12.52971156159898,117.26464340612254,-36.30418559154539,-5.0152056390209765
2,233.23002725978185,194.4681002022371,-279.15702452208586,504.47448374210524,-472.5060845128015,29.524892867822064
2,402.66734107935486,-58.805273800020075,-186.7657991708124,177.20068101822926,-533.4838136037835,569.800788846714
1,-46.92543153533201,414.69651518489127,-353.66902893798886,444.81703162350294,-156.4573264576003,50.811835314229654
1,481.1531253280406,3.122465522304843,-304.70257242624876,372.3591430025961,-310.95762733102805,0.895985895114034
2,237.8742653078065,-305.6199222461897,165.57247971960368,-420.1227255398037,-13.265677114908641,718.8808620476719
2,394.98564080043025,-218.9568439110667,-37.05256246511874,-123.23358345289114,-369.92992376909586,774.80329666043
1,-218.68855815993888,-204.50669763114226,558.935952737801,-439.67760340014473,543.5775369131873,32.03145376843684
1,147.86423461146933,361.2986369080477,-483.55168847318487,524.3160756452073,-368.07824778004476,36.58851356447142
2,413.8885119220521,-141.42222367109105,-121.6060025016883,35.34633416033882,-471.7195980139752,687.086441213006
1,428.33355011659876,41.83031456331284,-379.178022926987,340.5594021455486,-470.27726320569184,4.981091435645176
1,-64.8345987398301,-392.2282595172776,483.9077574207292,-351.74984922591835,446.70904002784,13.226913160122482
2,83.32880395345182,-281.4671922015364,266.7904201162123,-504.4362022153026,234.13842005085843,509.33886773192495
2,399.6385282265808,-209.41784363090431,-49.30545123423201,-104.0818756467188,-385.30374218600014,768.2928423328601
2,-314.6822194399881,317.6575780120362,46.01245414915823,263.73457377620605,391.1118300561586,-777.1399782440018
2,413.0967898742987,-142.46688648404538,-120.03978871737871,36.03578860433581,-459.38310928026635,669.7677712576474
2,316.6329150576873,104.16677343067566,-264.4966915128189,407.623456589677,-538.0523749974973,252.3678959493445
2,-346.1932184683623,264.5137103556799,118.71946045059703,139.5156846226247,462.4680764203956,-697.3258091886729
0,-364.19659583058956,33.43381450016898,488.8731070350601,-180.35922929752186,-0.12817516017749853,46.58936192992968
2,195.6519775019648,226.64202106415038,-278.1295355776392,532.2010003136058,-408.1312557813261,-94.72230361304426
1,-330.14458794444386,297.5539874005602,76.33822382992804,-71.08781886828997,112.66630498964248,61.962874569368026
1,361.80098524906856,-259.15095456640614,25.367782679747936,94.42762176016582,-12.383495971416124,-4.660058768601701
1,-302.6416623452867,329.2115892512845,26.08447544971483,-26.683402092140312,65.74234247670199,61.8186435754896
2,413.9636092773489,-141.85644753961063,-121.27634804546818,35.72778534457945,-475.5422934233389,691.6175173185667
1,79.08064923160791,-344.04079782718446,429.2873548714932,-388.00460037474176,291.9066246823807,7.827701114658112
0,-292.08900240556,621.388716015308,-157.4809163434767,301.4453144730469,22.9527618722182,59.358189009194604
1,23.25241522045586,470.7985846502937,-359.9878660303433,333.3119892351772,-306.5680143600363,49.898099696541934
2,-262.8276893334481,355.7998622761813,-29.41748864823586,381.2055044357915,250.72221070444985,-755.9841014270165
1,-327.4530689220582,-69.0367489351071,505.9891265295683,-358.2953508247609,551.9760279701521,45.07483780470184
2,-177.89501134437072,375.71430018746577,-114.8024095414882,489.7604921996114,62.92218826702376,-659.4735945863547
2,364.43158972892934,31.509800727499524,-237.34975801908183,314.23274964218695,-552.7838611010128,403.0031786004972
1,-80.49421359212164,456.62572394672844,-264.79172830604426,230.70879195547232,-201.9208378731012,55.2389445902145
1,115.79798677621605,-345.6349661252381,396.2199334985813,-366.37321670152306,219.69452962671744,5.481165125033339
2,-282.6108308175641,0.9798814796278776,304.4737881734121,-294.3797553114345,600.5740194608485,-271.229947927765
1,81.9875382146771,389.2043020513827,-450.76271385357137,506.9643746162983,-319.4333153520133,41.95885243175661
1,412.2347022815594,-192.86108514254806,-81.7357665643739,40.85171717375825,-267.1721504709399,-5.064891190457551
2,372.16735585802775,-252.06528468999494,10.777585487691507,-207.33493690955527,-293.7833567805295,791.9478116824786
2,-347.92712448257436,145.561702668225,226.76067087418434,-81.7859733032007,577.3299971550375,-538.8805006183319
1,-312.0206499934527,321.14972303821776,22.616265066959315,130.328842731806,223.5145705745224,62.46608889202513
1,-132.2072696216905,441.23386433065485,-209.87382158463686,189.91126398416858,-160.49270661041461,57.60362996421247
0,309.32705783272866,-559.2780191264123,265.8825899034706,-260.4765683746496,25.029315903384155,-0.7399646428772186
2,-38.28732625157191,355.80007814456883,-207.9442976107183,571.2703415257192,-160.80955261883446,-477.37090197774086
3,685.599324477381,-364.28846610837803,-137.79561828008897,41.567809387477794,43.0306560455629,-3.89652819218459
1,13.142853621795876,-401.3909452564241,430.12494887934264,-302.17279330190763,397.7847112572489,8.472300328419795
0,320.3036360191803,226.27930425714462,-497.64094630078785,336.9677512208783,50.279404163451346,20.4611026365027
2,412.5659364257709,-165.1432064104637,-99.28417636743382,-9.88079070054296,-446.0663419146534,716.5795535354146
